# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.209	-0.0342308	-0.000892266	0.0325976	0.016956	-0.00985461	0	0.0251309	0.000232924	178.749	0	0
0.21	-0.0342519	-0.00090236	0.0325976	-0.0211051	-0.0100948	0	0.0243142	0.000213623	178.749	0	0
0.211	-0.0342349	-0.000912334	0.0325976	0.017011	-0.009974	0	0.0254142	0.000241785	178.748	0	0
0.212	-0.034256	-0.000922559	0.0325976	-0.0210507	-0.0102241	0	0.0246231	0.000219831	178.748	0	0
0.213	-0.0342389	-0.000932678	0.0325976	0.0170668	-0.0101195	0	0.025765	0.000267227	178.748	0	0
0.214	-0.0342599	-0.000943058	0.0325976	-0.0209899	-0.0103803	0	0.0250074	0.000215576	178.748	0	0
0.215	-0.0342428	-0.000953373	0.0325976	0.0171199	-0.0103143	0	0.0262039	0.000242144	178.748	0	0
0.216	-0.0342637	-0.000963936	0.0325976	-0.020938	-0.0105633	0	0.0254354	0.000255335	178.748	0	0
0.217	-0.0342465	-0.000974412	0.0325976	0.0171723	-0.010476	0	0.0265894	0.000252929	178.749	0	0
0.218	-0.0342674	-0.0009851	0.0325976	-0.0208915	-0.0106883	0	0.0257242	0.000242734	178.748	0	0
0.219	-0.0342502	-0.000995704	0.0325976	0.0172255	-0.0106032	0	0.026918	0.000243869	178.748	0	0
0.22	-0.034271	-0.00100657	0.0325995	-0.0208412	-0.0108685	0.00182912	0.0261422	0.000231923	178.748	0	0
0.221	-0.0342538	-0.00101733	0.0325995	0.0172681	-0.0107596	0	0.0272671	0.000265626	178.748	0	0
0.222	-0.0342746	-0.00102835	0.0325995	-0.0207962	-0.0110184	0	0.0265059	0.000238816	178.748	0	0
0.223	-0.0342573	-0.0010393	0.0325995	0.0173161	-0.0109524	0	0.0277285	0.000255945	178.748	0	0
0.224	-0.034278	-0.00105048	0.0325995	-0.0207522	-0.0111762	0	0.0268672	0.00025654	178.748	0	0
0.225	-0.0342606	-0.00106156	0.0325995	0.0173575	-0.0110809	0	0.0280292	0.000290864	178.748	0	0
0.226	-0.0342813	-0.00107291	0.0325995	-0.0207013	-0.0113515	0	0.0273048	0.000248201	178.748	0	0
0.227	-0.0342639	-0.00108421	0.0325995	0.0174007	-0.0112947	0	0.0285101	0.00028922	178.748	0	0
