# t	p	dpdt	w	dwdt	ctrl	T	V
6.29452	-0.0223584	0.0576598	-2.63217	-0.71585	0	0.150027	196.151
6.32812	-0.0208628	0.0316706	-2.65379	-0.571979	0	0.117524	196.157
6.36176	-0.0202157	0.0069279	-2.67068	-0.432554	0	0.0914024	196.16
6.39548	-0.0203948	-0.0175898	-2.68293	-0.293832	0	0.071249	196.159
6.42902	-0.021402	-0.0426807	-2.69044	-0.153309	0	0.0573108	196.155
6.46257	-0.0232777	-0.0695057	-2.69314	-0.00647587	0	0.0501335	196.147
6.49616	-0.0261014	-0.0991719	-2.69225	0.0567541	-10	0.0776162	196.133
6.5297	-0.0262251	0.091766	-2.70642	-0.897045	0	0.19763	196.133
6.56334	-0.0236511	0.0617516	-2.73391	-0.73851	0	0.155735	196.145
6.59693	-0.0220436	0.0342864	-2.75619	-0.589296	0	0.121954	196.152
6.63056	-0.021332	0.00817689	-2.77357	-0.444937	0	0.0950019	196.155
6.66423	-0.0214907	-0.0176337	-2.78614	-0.301599	0	0.0744067	196.155
6.69789	-0.0225268	-0.0441479	-2.79385	-0.155734	0	0.0603238	196.15
6.73141	-0.0244726	-0.0723358	-2.79655	-0.00400203	-10	0.0534911	196.141
6.76502	-0.0236469	0.121635	-2.81282	-0.964646	0	0.190542	196.145
6.79862	-0.0200129	0.0953977	-2.84275	-0.819894	0	0.14793	196.161
6.83227	-0.0171889	0.0729899	-2.86811	-0.688947	0	0.113217	196.171
6.86586	-0.0150703	0.053589	-2.88921	-0.56901	0	0.0848358	196.178
6.89967	-0.0135568	0.0362547	-2.90652	-0.456251	0	0.0614758	196.182
6.93333	-0.0126052	0.0204799	-2.92007	-0.349376	0	0.0427108	196.184
6.96699	-0.0121688	0.0055402	-2.93007	-0.245533	0	0.0280238	196.185
7.00059	-0.0122292	-0.0091484	-2.9366	-0.142687	0	0.0172557	196.185
7.0342	-0.012788	-0.0242146	-2.93965	-0.0384505	0	0.0104006	196.184
7.06775	-0.0138654	-0.0402329	-2.93966	0.0145601	0	0.0139605	196.181
7.10137	-0.0155097	-0.0579194	-2.93895	0.0293818	0	0.0272151	196.176
7.13493	-0.0177816	-0.0779237	-2.9376	0.0527004	0	0.0458248	196.169
7.16843	-0.0207694	-0.101037	-2.93529	0.0873828	-10	0.0709762	196.158
7.20194	-0.0208484	0.0963046	-2.94881	-0.889794	0	0.185509	196.157
7.23554	-0.0180144	0.0729337	-2.97642	-0.755426	0	0.146712	196.168
7.26897	-0.015923	0.0526221	-2.99959	-0.632419	0	0.114565	196.175
7.30251	-0.0144688	0.0343609	-3.01885	-0.516675	0	0.0876247	196.179
7.33621	-0.0135993	0.0174168	-3.03438	-0.40549	0	0.0652188	196.182
7.36975	-0.0132871	0.00126126	-3.04616	-0.297404	0	0.0471628	196.183
7.40331	-0.0135143	-0.0148486	-3.05433	-0.189469	0	0.0332012	196.182
7.43691	-0.0142919	-0.0315868	-3.05885	-0.0791741	0	0.0234274	196.18
7.47039	-0.0156454	-0.0495398	-3.05972	0.0103925	0	0.0225422	196.176
7.50391	-0.0176339	-0.069512	-3.05901	0.0336625	0	0.0395841	196.169
7.53753	-0.0203462	-0.0923677	-3.05734	0.0672362	-10	0.0629676	196.159
7.57117	-0.0201093	0.106502	-3.07171	-0.916588	0	0.185104	196.16
7.60482	-0.0169118	0.0842132	-3.10031	-0.78609	0	0.146025	196.172
7.63846	-0.0144044	0.0653502	-3.12474	-0.668028	0	0.113546	196.18
7.67192	-0.012494	0.0492301	-3.14527	-0.560196	0	0.0865316	196.185
